"","alpha","dis_result","baba_result","jnj_result","fb_result"
"1",0.01,0,0.0378214365102193,0,0.962178563489781
"2",0.05,0,0.042342881439119,0,0.957657118560881
"3",0.1,0,0.0423428814391191,0,0.957657118560881
"4",0.2,0,0.0644035780213757,0,0.935596421978624
"5",0.3,0,0.0793701206456184,0,0.920629879354382
"6",0.4,0,0.0858483437871836,0.0724517057246586,0.841699950488157
"7",0.5,0.0135259962121899,0.0636344033604028,0.262897311440851,0.659942288986561
"8",0.6,0.0954477643417637,0.064207788459924,0.370081673221824,0.470262773976489
"9",0.7,0.158842127697837,0.0799674856799501,0.392909772802188,0.368280613820026
"10",0.8,0.151426005383454,0.0695802865812683,0.499914223007467,0.279079485027812
"11",0.9,0.175957623983751,0.0442651134073041,0.560331831182156,0.219445431426789
"12",0.95,0.168539928737925,0,0.599767391732703,0.231692679529373
"13",0.99,0.21156756578307,0.103213166053438,0.685219268163492,0
