"","alpha","dis_resultfree7","baba_resultfree7","jnj_resultfree7","fb_resultfree7","bond_resultfree7"
"1",0.01,0.0352669921388225,0.00674571126521993,0.0664087871913518,0.0251463218300706,0.866432187574535
"2",0.05,0.0358853598367096,0.00664489736708548,0.0646873300351735,0.0253064846234309,0.867475928137601
"3",0.1,0.0362006761295208,0.00645881780576705,0.065041318761758,0.0243987184205167,0.867900468882437
"4",0.2,0.0358614807316465,0.0063100525870245,0.0643718894069434,0.024229733481779,0.869226843792606
"5",0.3,0.0369515319462654,0.00601571060141824,0.0658842644023026,0.0222370745434265,0.868911418506586
"6",0.4,0.036792529334542,0.00593330838589934,0.0655599825874767,0.022116278858609,0.869597900833473
"7",0.5,0.0376860602872179,0.00557715447116226,0.0667046743873942,0.0201057448992552,0.869926365954971
"8",0.6,0.0353558547229246,0.00565331753069606,0.0736266795874894,0.020667396487098,0.864696751671792
"9",0.7,0.0344556716984814,0.00641718345660359,0.0721523950136421,0.00938463762716268,0.877590112204109
"10",0.8,0.0438065087748001,0.00397723420146357,0.0703362137571987,0.0124648121005893,0.869415231165948
"11",0.9,0.0435582692832561,0,0.0661420442490675,0.00266147946010841,0.887638207007568
"12",0.95,0.036543149613174,0,0.0627226263533722,0,0.900734224033454
"13",0.99,0.0410438281596198,0,0.0492101753215083,0.000611879322034544,0.909134117196837
