"","alpha","dis_result5","baba_result5","jnj_result5","fb_result5"
"1",0.01,0.220383814221552,0.0557195581146105,0.528452985062689,0.195443642601149
"2",0.05,0.222242399813732,0.0570328117902395,0.530361425916898,0.190363362479131
"3",0.1,0.22741342258893,0.0569959937047008,0.534010908261595,0.181579675444774
"4",0.2,0.227220585907056,0.0577277304848352,0.54179851442823,0.173253169179878
"5",0.3,0.241748224907844,0.0562217392318949,0.536835215444801,0.165194820415461
"6",0.4,0.242838619081737,0.0568214158284135,0.537158872761906,0.163181092327944
"7",0.5,0.244785569352406,0.056057685520561,0.537433646699156,0.161723098427877
"8",0.6,0.230878969051661,0.0557819764419314,0.582813952103535,0.130525102402873
"9",0.7,0.238157373680125,0.0232223130455219,0.612591928327208,0.126028384947146
"10",0.8,0.244014554572888,0.0260403910146428,0.620147109140071,0.109797945272399
"11",0.9,0.24398792288854,0.0496312395898607,0.589171014019098,0.117209823502502
"12",0.95,0.221498522137701,0.0382940224896118,0.661725274683739,0.0784821806889489
"13",0.99,0.220337590576689,0.0791935238388356,0.700468885584476,0
