"","alpha","dis_resultfree5","baba_resultfree5","jnj_resultfree5","fb_resultfree5","bond_resultfree5"
"1",0.01,0.0312806107419593,0.00986264222691593,0.0737023739137996,0.037582422510959,0.847571950606367
"2",0.05,0.0305489673594875,0.00985021759387351,0.0738901707554629,0.0368661472350995,0.848844497056077
"3",0.1,0.0317222173982738,0.00898589950732698,0.0740795788684496,0.0346865620039617,0.850525742221988
"4",0.2,0.0334539631763916,0.00847249235441236,0.074307709659862,0.03058467048604,0.853181164323294
"5",0.3,0.037873779965402,0.00740942883158935,0.0739214392213972,0.0280227969787581,0.852772555002854
"6",0.4,0.0369508858169939,0.00773618115660665,0.0718734795531311,0.0260246463816703,0.857414807091598
"7",0.5,0.0366955453500876,0.0076729378603484,0.0710444125805751,0.0257698225507712,0.858817281658218
"8",0.6,0.0343353829350271,0.00726336669860365,0.0712024345340205,0.023782942584776,0.863415873247573
"9",0.7,0.0347612641921015,0.00660272373247751,0.0760948942343632,0.0133927825543931,0.869148335286662
"10",0.8,0.0438037400143668,0.00389322955373615,0.0703424808578028,0.0134494751827691,0.868511074391325
"11",0.9,0.0424531503719398,0,0.0731394967082742,0.00374209446623009,0.880665258453556
"12",0.95,0.0379528813646562,0,0.0568473002095315,0.00601175446949811,0.899188063956314
"13",0.99,0.0410438281596198,0,0.0492101753215083,0.000611879322034571,0.909134117196837
