"","alpha","dis_result9","baba_result9","jnj_result9","fb_result9"
"1",0.01,0.265356808647323,0.0379292734760129,0.575821823848846,0.120892094027818
"2",0.05,0.265356808647323,0.0379292734760129,0.575821823848846,0.120892094027818
"3",0.1,0.265356808647324,0.0379292734760129,0.575821823848845,0.120892094027818
"4",0.2,0.265356808647324,0.0379292734760133,0.575821823848846,0.120892094027818
"5",0.3,0.265356808647324,0.037929273476013,0.575821823848846,0.120892094027818
"6",0.4,0.269681742965396,0.0359528041050116,0.572967955944105,0.121397496985485
"7",0.5,0.269681742965396,0.0359528041050115,0.572967955944106,0.121397496985485
"8",0.6,0.23889051694774,0.0501146201203461,0.609028364195931,0.101966498735983
"9",0.7,0.244604452509949,0.0192960211231974,0.618710789802733,0.11738873656412
"10",0.8,0.269571585381087,0.0194859661996066,0.617338059657919,0.0936043887613878
"11",0.9,0.270036430416312,0.0433422078199763,0.579281814552513,0.107339547211198
"12",0.95,0.221277709391229,0.0387132632795921,0.67559924201736,0.0644097853118187
"13",0.99,0.220337590576689,0.0791935238388355,0.700468885584476,0
