"","alpha","dis_resultfree9","baba_resultfree9","jnj_resultfree9","fb_resultfree9","bond_resultfree9"
"1",0.01,0.0378829116540321,0.00471435643609012,0.0663080737194232,0.0170879788364942,0.87400667935396
"2",0.05,0.0378829116540321,0.00471435643609015,0.0663080737194233,0.0170879788364942,0.874006679353959
"3",0.1,0.03755885927224,0.00457391853832713,0.065657250994374,0.016903180125517,0.875306791069541
"4",0.2,0.0375458101577871,0.0045783051418165,0.0656082943087716,0.0168579077133641,0.875409682678249
"5",0.3,0.0375458101577875,0.00457830514181628,0.0656082943087728,0.0168579077133652,0.87540968267826
"6",0.4,0.0383454778060004,0.00448259627408767,0.0650203433527807,0.0163834022066798,0.875768180360451
"7",0.5,0.0383606965244119,0.00448511107525811,0.0649326009574111,0.0163827888586642,0.875838802584254
"8",0.6,0.0348299964524703,0.00591741803437111,0.0702462516251151,0.0126154812088945,0.876390852679149
"9",0.7,0.0345564319888637,0.00587566722261164,0.0710640195451988,0.00793464342435161,0.880569237818974
"10",0.8,0.0444672348033958,0.0031995162136587,0.0690000717858933,0.0112873480102968,0.872045829186755
"11",0.9,0.0435582692832561,0,0.0661420442490675,0.00266147946010842,0.887638207007568
"12",0.95,0.036543149613174,0,0.0627226263533722,0,0.900734224033454
"13",0.99,0.0410438281596198,0,0.0492101753215083,0.000611879322034544,0.909134117196837
