"","DIS","BABA","JNJ","FB"
"1",0.359314345122405,0.0195075959012974,0.700246848554612,-0.0790687895783146
"2",0.348907509053022,0.0241058918783138,0.688135735256505,-0.0611491361878405
"3",0.338500670451511,0.0287041889741592,0.676024619011597,-0.0432294784372671
"4",0.328093831850001,0.0333024860700045,0.663913502766688,-0.0253098206866936
"5",0.317686993248491,0.0379007831658498,0.651802386521779,-0.00739016293612016
"6",0.307280154646981,0.0424990802616952,0.639691270276871,0.0105294948144533
"7",0.29687331604547,0.0470973773575405,0.627580154031962,0.0284491525650268
"8",0.28646647744396,0.0516956744533859,0.615469037787054,0.0463688103156003
"9",0.27605963884245,0.0562939715492313,0.603357921542145,0.0642884680661738
"10",0.26565280024094,0.0608922686450766,0.591246805297237,0.0822081258167472
"11",0.255245961639429,0.0654905657409219,0.579135689052328,0.100127783567321
"12",0.244839123037919,0.0700888628367673,0.567024572807419,0.118047441317894
"13",0.234432284436409,0.0746871599326127,0.554913456562511,0.135967099068468
"14",0.224025445834899,0.079285457028458,0.542802340317603,0.153886756819041
"15",0.213618607233388,0.0838837541243033,0.530691224072694,0.171806414569615
"16",0.203211768631878,0.0884820512201487,0.518580107827785,0.189726072320188
"17",0.192804930030368,0.093080348315994,0.506468991582877,0.207645730070761
"18",0.182398091428857,0.0976786454118394,0.494357875337968,0.225565387821335
"19",0.171991252827347,0.102276942507685,0.48224675909306,0.243485045571908
"20",0.161584414225837,0.10687523960353,0.470135642848151,0.261404703322482
"21",0.151177575624327,0.111473536699375,0.458024526603243,0.279324361073055
"22",0.140770737022816,0.116071833795221,0.445913410358334,0.297244018823629
"23",0.130363898421306,0.120670130891066,0.433802294113426,0.315163676574202
"24",0.119957059819796,0.125268427986911,0.421691177868517,0.333083334324776
"25",0.109550221218285,0.129866725082757,0.409580061623609,0.351002992075349
"26",0.0991433826167753,0.134465022178602,0.3974689453787,0.368922649825922
"27",0.088736544015265,0.139063319274448,0.385357829133791,0.386842307576496
"28",0.0783297054137548,0.143661616370293,0.373246712888883,0.404761965327069
"29",0.0679228668122444,0.148259913466138,0.361135596643974,0.422681623077643
"30",0.0575160282107342,0.152858210561984,0.349024480399066,0.440601280828216
"31",0.047109189609224,0.157456507657829,0.336913364154157,0.45852093857879
"32",0.0367023510077137,0.162054804753674,0.324802247909249,0.476440596329363
"33",0.0262955124062035,0.16665310184952,0.31269113166434,0.494360254079937
"34",0.0158886738046931,0.171251398945365,0.300580015419432,0.51227991183051
"35",0.00548183520318291,0.17584969604121,0.288468899174523,0.530199569581084
"36",-0.00492500339832744,0.180447993137056,0.276357782929614,0.548119227331657
"37",-0.0153318419998376,0.185046290232901,0.264246666684706,0.566038885082231
"38",-0.025738680601348,0.189644587328746,0.252135550439797,0.583958542832804
"39",-0.0361455192028582,0.194242884424592,0.240024434194889,0.601878200583378
"40",-0.0465523578043684,0.198841181520437,0.22791331794998,0.619797858333951
"41",-0.0569591964058786,0.203439478616282,0.215802201705072,0.637717516084525
"42",-0.0673660350073889,0.208037775712128,0.203691085460163,0.655637173835098
"43",-0.0777728736088992,0.212636072807973,0.191579969215255,0.673556831585671
"44",-0.0881797122104095,0.217234369903819,0.179468852970346,0.691476489336245
"45",-0.0985865508119198,0.221832666999664,0.167357736725438,0.709396147086818
"46",-0.10899338941343,0.226430964095509,0.155246620480529,0.727315804837392
"47",-0.11940022801494,0.231029261191354,0.14313550423562,0.745235462587965
"48",-0.129807066616451,0.2356275582872,0.131024387990712,0.763155120338539
"49",-0.140213905217961,0.240225855383045,0.118913271745803,0.781074778089112
"50",-0.150620733688719,0.244824148002583,0.106802167290711,0.798994418395425
