"","alpha","dis_result7","baba_result7","jnj_result7","fb_result7"
"1",0.01,0.249183187178719,0.0492838151597949,0.552669591115298,0.148863406546188
"2",0.05,0.250351215742255,0.0512636724926318,0.551663915982581,0.146721195782532
"3",0.1,0.244540574153682,0.0520866982318176,0.563893545613755,0.139479182000745
"4",0.2,0.252208456878746,0.0490135184004908,0.563439731172252,0.135338293548511
"5",0.3,0.254536804095063,0.0480803494981908,0.563301930735094,0.134080915671652
"6",0.4,0.262994644854041,0.0371191252289699,0.572426455796642,0.127459774120347
"7",0.5,0.262955375313902,0.0388296550855025,0.572595211314524,0.125619758286071
"8",0.6,0.2373866329497,0.0505816290448465,0.609292681417547,0.102739056587907
"9",0.7,0.240837711676478,0.0200857607796685,0.61279176276232,0.126284764781533
"10",0.8,0.260798545266498,0.0183544065034587,0.620874625459101,0.0999724227709418
"11",0.9,0.268726682707905,0.0425825786358902,0.577721753320831,0.110968985335374
"12",0.95,0.221277709391229,0.0387132632795921,0.67559924201736,0.0644097853118187
"13",0.99,0.220337590576689,0.0791935238388355,0.700468885584476,0
