"","alpha","q_result3"
"1",0.01,0
"2",0.05,0
"3",0.1,0
"4",0.2,0
"5",0.3,0
"6",0.4,0
"7",0.5,0
"8",0.6,0.255205112540211
"9",0.7,0.884373196895973
"10",0.8,1.79560095290674
"11",0.9,3.09301554155792
"12",0.95,4.73170528849461
"13",0.99,7.77858258693472
