"","DIS","BABA","JNJ","FB"
"DIS",18.0964357152332,5.64714030240175,4.62978051625863,6.64016924976973
"BABA",5.64714030240175,50.8636751041305,5.11320728962003,13.6487126696951
"JNJ",4.62978051625863,5.11320728962003,10.8648058204949,6.14725827779749
"FB",6.64016924976973,13.6487126696951,6.14725827779749,31.6176991635013
