"","alpha","solution1"
"1",0.01,0.18924971486419
"2",0.05,0.181998681131561
"3",0.1,0.172035222808751
"4",0.2,0.148429292208238
"5",0.3,0.118262687500037
"6",0.4,0.0786411774838969
"7",0.5,0.0309194964051606
"8",0.6,-0.029039422862029
"9",0.7,-0.102951300080911
"10",0.8,-0.197625320703124
"11",0.9,-0.345105561879693
"12",0.95,-0.493400387313128
"13",0.99,-0.757776355032489
