"","alpha","q_result"
"1",0.01,0
"2",0.05,0
"3",0.1,0
"4",0.2,0
"5",0.3,0
"6",0.4,0
"7",0.5,0
"8",0.6,0.227704427946531
"9",0.7,0.930199413374509
"10",0.8,1.91454391010346
"11",0.9,3.31772879249308
"12",0.95,4.76307002251429
"13",0.99,7.65902481252017
